MB-CAD 26.1.2 Cennik 26.1.2 PLN;PORÓWNANIE ZAMÓWIENIA I RZECZYWISTYCH POTRZEB;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;

;Profile;;;;Zamawiane:;;;;;Potrzebne:;;;
;Kod elementu;Opis;;Jednostka miary;;;;;;Iloœæ;;;Odpad
K80009270;ROMB - Zamekrolkowo-zasuwkowy;;szt.;4;;150,64;4; 150,64;; 0,00
K80009271;ROMB - Zamek zasuwkowy,dodatkowy;;szt.;6;;174,24;6; 174,24;; 0,00
K80009508;WILKA - Regulacja do blachyzaczepowej;;szt.;1;;6,85;1; 6,85;; 0,00
K80009524;WILKA - Zaczep prêta, górny;;szt.;5;;299,05;5; 299,05;; 0,00
K80009525;WILKA - Prowadnica prêtagórnego - antypanik;;szt.;11;;1199,11;11;1 199,11;; 0,00
K80009527;WILKA - Prowadnica prêtadolnego - antypanik;;szt.;7;;146,51;7; 146,51;; 0,00
K80009529;WILKA - Prêt górny;;szt.;11;;1144,66;11;1 144,66;; 0,00
K80009592;WILKA - Podk³adka 2+3 mm;;szt.;12;;287,28;12; 287,28;; 0,00
K80009594;WILKA - Blacha zaczepowag³ówna U24x6 mm, prawa;;szt.;1;;83,81;1; 83,81;; 0,00
K80009595;WALA - Zaczep pod³ogowy;;szt.;6;;75,42;6; 75,42;; 0,00
K80009644;ROMB - Zamek;;szt.;1;;77,33;1; 77,33;; 0,00
K80009645;Blacha zaczepowa;;szt.;1;;20,22;1; 20,22;; 0,00
K80009646;WILKA - Ryglowanieautomatyczne;;szt.;6;;2668,98;6;2 668,98;; 0,00
K80009647;WILKA - Ryglowanieautomatyczne;;szt.;5;;2416,75;5;2 416,75;; 0,00
K80009648;WILKA - Prêt rygluj¹cy;;szt.;11;;646,91;11; 646,91;; 0,00
K80009649;WILKA - Zaczep prêta, górny;;szt.;6;;598,26;6; 598,26;; 0,00
K80009698R7016;GEZE - Samozamykacz bezramienia TS 3000 V[antracytmat];;szt.;59;;23929,81;59;23 929,81;; 0,00
K80009718R7016;GEZE - Samozamykacz bezramienia TS 5000[antracyt mat];;szt.;26;;16752,84;26;16 752,84;; 0,00
K80009734;GEZE - Ogranicznik otwarciaISM;;szt.;3;;331,65;3; 331,65;; 0,00
K80009778R7016;GEZE - Szyna œlizgowa TS5000/3000[antracyt mat];;szt.;55;;6089,05;55;6 089,05;; 0,00
K80009838R7016;GEZE - Szyna œlizgowaISM[antracyt mat];;szt.;10;;8027,00;10;8 027,00;; 0,00
K80009848R7016;GEZE - Szyna œlizgowa EISM[antracyt mat];;szt.;5;;12257,80;5;12 257,80;; 0,00
K80009898R7016;GEZE - P³ytka monta¿owa TS3000 V[antracyt mat];;szt.;59;;2031,37;59;2 031,37;; 0,00
K80009908R7016;GEZE - P³ytka monta¿owa TS5000/4000[antracyt mat];;szt.;26;;865,02;26; 865,02;; 0,00
K80012999;ASSA ABLOY - Przepustkablowy;;szt.;8;;1905,60;8;1 905,60;; 0,00
K80104701;WALA - Komplet mocuj¹cyzawias 2-skrzyd.: p³ytka + œruba;;szt.;286;;2282,28;286;2 282,28;; 0,00
K80104991;WALA - Komplet mocuj¹cyzawias 3-skrzyd.: turboœruba 60mm;;szt.;76;;698,44;76; 698,44;; 0,00
K80105438R7016;WALA - Zawias WX 2-skrzyd. 67mm[antracyt mat];;szt.;286;;10787,92;286;10 787,92;; 0,00
K80105448R7016;WALA - Zawias WX 3-skrzyd. 67mm[antracyt mat];;szt.;76;;4096,40;76;4 096,40;; 0,00
K80322073;£¹cznik oœcie¿nicowy 68x16 mm;;szt.;98;;235,20;98; 235,20;; 0,00
K80322075;P³ytka prowadz¹ca rygla 58x30mm;;szt.;12;;25,56;12; 25,56;; 0,00
K80322077;P³ytka monta¿owa zamka 58x14mm;;szt.;52;;83,72;52; 83,72;; 0,00
K80322080;Trzpieñ antywywa¿eniowy 58x14mm;;szt.;38;;114,76;38; 114,76;; 0,00
K80322092;£¹cznik p³aski 68x40 mm;;szt.;326;;436,84;326; 436,84;; 0,00

3 (5);;;14.04.2026;
;;;;;;;;;;

K80322106;K¹townik szklenia 19 mm zuszczelk¹ ceramiczn¹;;szt.;326;;1036,68;326;1 036,68;; 0,00
K80322107;K¹townik szklenia 17 mm zuszczelk¹ ceramiczn¹;;szt.;326;;922,58;326; 922,58;; 0,00
K80322116;£¹cznik p³aski 58x28 mm;;szt.;24;;30,24;24; 30,24;; 0,00
K80322130;K¹townik szklenia 31x40 mm;;szt.;108;;535,68;108; 535,68;; 0,00
K80322131;K¹townik szklenia 30,5x40 mm;;szt.;38;;254,60;38; 254,60;; 0,00
K80322132;£¹cznik oœcie¿nicowy 50x18 mm;;szt.;14;;41,30;14; 41,30;; 0,00
K80322133;P³ytka mocuj¹ca;;szt.;61;;302,56;61; 302,56;; 0,00
K80322180;P³ytka monta¿owa;;szt.;6;;66,06;6; 66,06;; 0,00
K80322220;P³ytka monta¿owa 54x58 mm;;szt.;6;;66,18;6; 66,18;; 0,00
K80372507;Wkrêt dociskowy M4x8 mm;;szt.;14;;1,54;14; 1,54;; 0,00
K80372710;Wkrêt dociskowy M6x16 mm;;szt.;332;;69,72;332; 69,72;; 0,00
K80376014;Ko³ek o5x12 mm;;szt.;28;;20,16;28; 20,16;; 0,00
K80376015;Ko³ek o6x12 mm;;szt.;760;;592,80;760; 592,80;; 0,00
K80377106;Nit o4x9,5 mm;;szt.;504;;105,84;504; 105,84;; 0,00
K80377243;Nitonakrêtka M5;;szt.;1261;;353,08;1261; 353,08;; 0,00
K80435047R9005;Zaœlepka otworu o14 mm[czarnymat];;szt.;1231;;295,44;1231; 295,44;; 0,00
K80435048R7035;Zaœlepka otworu o14 mm[szarymat];;szt.;44;;11,00;44; 11,00;; 0,00
K80453048;Podk³adka podszybowa100x27x5 mm;;szt.;706;;727,18;706; 727,18;; 0,00
K80453050;Podk³adka zatrzaskowa 22,5 mm;;szt.;533;;495,69;533; 495,69;; 0,00
K80453053;Podk³adka podszybowa100x30x3 mm;;szt.;40;;43,60;40; 43,60;; 0,00
K80453054;Podk³adka podszybowa100x15x3 mm;;szt.;334;;160,32;334; 160,32;; 0,00
K80455040;Maskownica 15x66x22 mm;;szt.;1;;1,76;1; 1,76;; 0,00
K80457117;Wk³adka uszczelniaj¹ca naro¿e;;szt.;4;;3,16;4; 3,16;; 0,00
K80457127;Wk³adka uszczelniaj¹ca naro¿e;;szt.;4;;3,16;4; 3,16;; 0,00
K80462079;Wk³adka uszczelniaj¹ca, lewa;;szt.;16;;13,60;16; 13,60;; 0,00
K80462080;Wk³adka uszczelniaj¹ca, prawa;;szt.;16;;14,24;16; 14,24;; 0,00
K80462103;Œlizg 70x18 mm;;szt.;9;;24,48;9; 24,48;; 0,00
K80462121;Wk³adka uszczelniaj¹ca naro¿e,prawa;;szt.;6;;23,10;6; 23,10;; 0,00
K80462122;Wk³adka uszczelniaj¹ca naro¿e,lewa;;szt.;12;;46,20;12; 46,20;; 0,00
K80462213;Wk³adka prowadz¹ca prêt;;szt.;4;;12,76;4; 12,76;; 0,00
K80957034;Podk³adka drewniana 1x40x80mm;;szt.;268;;75,04;268; 75,04;; 0,00
K80957035;Podk³adka drewniana 2x40x80mm;;szt.;326;;91,28;326; 91,28;; 0,00
K80957037;Podk³adka podszybowa 80x34x5mm;;szt.;44;;14,96;44; 14,96;; 0,00
K80957046;Podk³adka drewniana 5x22x80mm;;szt.;21;;6,51;21; 6,51;; 0,00
K80957047;Podk³adka drewniana 5x30x80mm;;szt.;49;;17,64;49; 17,64;; 0,00
K87122301;Œruba M5x14 mm;;szt.;573;;120,33;573; 120,33;; 0,00
K87122307;Œruba M5x15,4 mm;;szt.;44;;22,44;44; 22,44;; 0,00
K87122308;Œruba M5x20 mm;;szt.;656;;111,52;656; 111,52;; 0,00
K87222202;Wkrêt 3,5x9,5 mm[anodasrebrna];;szt.;48;;5,76;48; 5,76;; 0,00
K87222203;Wkrêt 3,5x13 mm;;szt.;175;;17,50;175; 17,50;; 0,00
K87222204;Wkrêt 3,5x16 mm;;szt.;404;;48,48;404; 48,48;; 0,00
K87222506;Wkrêt 4,8x22 mm;;szt.;208;;29,12;208; 29,12;; 0,00
K87222507;Wkrêt 4,8x25 mm;;szt.;20;;4,20;20; 4,20;; 0,00
K87252202;Wkrêt 3,5x9,5 mm;;szt.;180;;18,00;180; 18,00;; 0,00
K87252203;Wkrêt 3,5x13 mm;;szt.;48;;4,80;48; 4,80;; 0,00
K87252204;Wkrêt 3,5x16 mm;;szt.;855;;85,50;855; 85,50;; 0,00
K87252205;Wkrêt 3,5x19 mm;;szt.;66;;6,60;66; 6,60;; 0,00
K87252503;Wkrêt 4,8x13 mm;;szt.;652;;84,76;652; 84,76;; 0,00
K87252509;Wkrêt 4,8x38 mm[anoda srebrna];;szt.;15;;4,80;15; 4,80;; 0,00
K87253404;Wkrêt 4,2x16 mm;;szt.;184;;23,92;184; 23,92;; 0,00
K8H00494X;ASSA ABLOY - Rygiel drzwiowy;;szt.;10;;2759,10;10;2 759,10;; 0,00
K8H00495X;ASSA ABLOY - Prowadzenieprêta;;szt.;10;;224,50;10; 224,50;; 0,00
